Confirmation of receipt;{Confirmation of receipt, T03 Adjust confirmation of receipt};{Confirmation of receipt, T20 Print report Y to stop indication, T10 Determine necessity to stop indication, T03 Adjust confirmation of receipt};{T03 Adjust confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T10 Determine necessity to stop indication, T20 Print report Y to stop indication};{T20 Print report Y to stop indication, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T10 Determine necessity to stop indication, T03 Adjust confirmation of receipt};{T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};{T06 Determine necessity of stop advice, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};*
T02 Check confirmation of receipt;{T02 Check confirmation of receipt_dummy};{T02 Check confirmation of receipt_dummy};{T03 Adjust confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T10 Determine necessity to stop indication, T20 Print report Y to stop indication};{T20 Print report Y to stop indication, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T10 Determine necessity to stop indication, T03 Adjust confirmation of receipt};{T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};{T06 Determine necessity of stop advice, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};*
T03 Adjust confirmation of receipt;{Confirmation of receipt, T03 Adjust confirmation of receipt};{Confirmation of receipt, T20 Print report Y to stop indication, T10 Determine necessity to stop indication, T03 Adjust confirmation of receipt};{T03 Adjust confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T10 Determine necessity to stop indication, T20 Print report Y to stop indication};{T20 Print report Y to stop indication, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T10 Determine necessity to stop indication, T03 Adjust confirmation of receipt};{T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};{T06 Determine necessity of stop advice, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};*
T04 Determine confirmation of receipt;{T04 Determine confirmation of receipt_dummy};{T04 Determine confirmation of receipt_dummy};{T04 Determine confirmation of receipt_dummy};{T20 Print report Y to stop indication, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T10 Determine necessity to stop indication, T03 Adjust confirmation of receipt};{T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};{T06 Determine necessity of stop advice, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};*
T05 Print and send confirmation of receipt;{T05 Print and send confirmation of receipt_dummy};{T05 Print and send confirmation of receipt_dummy};{T05 Print and send confirmation of receipt_dummy};{T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt};{T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};{T06 Determine necessity of stop advice, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};*
T06 Determine necessity of stop advice;{T06 Determine necessity of stop advice_dummy};{T06 Determine necessity of stop advice_dummy};{T06 Determine necessity of stop advice_dummy};{T06 Determine necessity of stop advice_dummy};{T06 Determine necessity of stop advice_dummy};{T06 Determine necessity of stop advice, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};*
T07-1 Draft intern advice aspect 1;{T07-1 Draft intern advice aspect 1_dummy};{T07-1 Draft intern advice aspect 1_dummy};{T07-1 Draft intern advice aspect 1_dummy};{T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt};{T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};{T06 Determine necessity of stop advice, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};*
T10 Determine necessity to stop indication;{T10 Determine necessity to stop indication, T20 Print report Y to stop indication};{Confirmation of receipt, T20 Print report Y to stop indication, T10 Determine necessity to stop indication, T03 Adjust confirmation of receipt};{T03 Adjust confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T10 Determine necessity to stop indication, T20 Print report Y to stop indication};{T20 Print report Y to stop indication, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T10 Determine necessity to stop indication, T03 Adjust confirmation of receipt};{T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};{T06 Determine necessity of stop advice, T04 Determine confirmation of receipt, Confirmation of receipt, T02 Check confirmation of receipt, T07-1 Draft intern advice aspect 1, T05 Print and send confirmation of receipt, T20 Print report Y to stop indication, T03 Adjust confirmation of receipt, T10 Determine necessity to stop indication};*
T11 Create document X request unlicensed;{T11 Create document X request unlicensed, T12 Check document X request unlicensed};{T11 Create document X request unlicensed, T12 Check document X request unlicensed, T14 Determine document X request unlicensed};{T11 Create document X request unlicensed, T12 Check document X request unlicensed, T14 Determine document X request unlicensed, T15 Print document X request unlicensed};{T11 Create document X request unlicensed, T14 Determine document X request unlicensed, T12 Check document X request unlicensed, T16 Report reasons to hold request, T15 Print document X request unlicensed};{T11 Create document X request unlicensed, T17 Check report Y to stop indication, T16 Report reasons to hold request, T12 Check document X request unlicensed, T14 Determine document X request unlicensed, T15 Print document X request unlicensed};{T11 Create document X request unlicensed, T14 Determine document X request unlicensed, T15 Print document X request unlicensed, T17 Check report Y to stop indication, T12 Check document X request unlicensed, T16 Report reasons to hold request, T19 Determine report Y to stop indication};*
T12 Check document X request unlicensed;{T11 Create document X request unlicensed, T12 Check document X request unlicensed};{T11 Create document X request unlicensed, T12 Check document X request unlicensed, T14 Determine document X request unlicensed};{T11 Create document X request unlicensed, T12 Check document X request unlicensed, T14 Determine document X request unlicensed, T15 Print document X request unlicensed};{T11 Create document X request unlicensed, T14 Determine document X request unlicensed, T12 Check document X request unlicensed, T16 Report reasons to hold request, T15 Print document X request unlicensed};{T11 Create document X request unlicensed, T17 Check report Y to stop indication, T16 Report reasons to hold request, T12 Check document X request unlicensed, T14 Determine document X request unlicensed, T15 Print document X request unlicensed};{T11 Create document X request unlicensed, T14 Determine document X request unlicensed, T15 Print document X request unlicensed, T17 Check report Y to stop indication, T12 Check document X request unlicensed, T16 Report reasons to hold request, T19 Determine report Y to stop indication};*
