Resource01;{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource01_dummy};{Resource27, Resource01};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource02;{Resource02_dummy};{Resource02_dummy};{Resource02_dummy};{Resource02_dummy};{Resource02_dummy};{Resource02_dummy};{Resource02_dummy};{Resource02, Resource39};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource03;{Resource03_dummy};{Resource03_dummy};{Resource03, Resource09};{Resource23, Resource09, Resource03, Resource12, Resource06, Resource22};{Resource06, Resource14, Resource09, Resource23, Resource03, Resource22, Resource12};{Resource14, Resource12, Resource21, Resource06, Resource03, Resource13, Resource04, Resource09, Resource23, Resource22};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource04;{Resource04_dummy};{Resource04_dummy};{Resource04_dummy};{Resource04_dummy};{Resource13, Resource21, Resource04};{Resource14, Resource12, Resource21, Resource06, Resource03, Resource13, Resource04, Resource09, Resource23, Resource22};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource05;{Resource05_dummy};{Resource05_dummy};{Resource05_dummy};{Resource05_dummy};{Resource05_dummy};{Resource05, Resource11};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource06;{Resource23, Resource06};{Resource23, Resource06, Resource22};{Resource12, Resource06, Resource23, Resource22};{Resource23, Resource09, Resource03, Resource12, Resource06, Resource22};{Resource06, Resource14, Resource09, Resource23, Resource03, Resource22, Resource12};{Resource14, Resource12, Resource21, Resource06, Resource03, Resource13, Resource04, Resource09, Resource23, Resource22};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource07;{Resource07_dummy};{Resource07_dummy};{Resource07_dummy};{Resource07_dummy};{Resource07_dummy};{Resource07_dummy};{Resource43, Resource07};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource08;{Resource08_dummy};{Resource08_dummy};{Resource08_dummy};{Resource08_dummy};{Resource08_dummy};{Resource08_dummy};{Resource08_dummy};{admin1, Resource08};{Resource25, Resource26, admin3, Resource34, Resource32, Resource17, Resource20, Resource19, Resource38, admin1, Resource35, Resource29, Resource24, Resource15, Resource18, Resource08, Resource10};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource09;{Resource09_dummy};{Resource09_dummy};{Resource03, Resource09};{Resource23, Resource09, Resource03, Resource12, Resource06, Resource22};{Resource06, Resource14, Resource09, Resource23, Resource03, Resource22, Resource12};{Resource14, Resource12, Resource21, Resource06, Resource03, Resource13, Resource04, Resource09, Resource23, Resource22};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource10;{Resource10_dummy};{Resource10_dummy};{Resource10_dummy};{Resource10_dummy};{Resource10, admin3, Resource38};{Resource35, Resource26, Resource29, admin3, Resource15, Resource17, Resource10, Resource19, Resource38};{Resource35, Resource25, Resource26, Resource29, admin3, Resource34, Resource24, Resource15, Resource32, Resource17, Resource10, Resource19, Resource38};{Resource35, Resource25, Resource26, Resource29, admin3, Resource34, Resource24, Resource15, Resource32, Resource18, Resource17, Resource20, Resource10, Resource19, Resource38};{Resource25, Resource26, admin3, Resource34, Resource32, Resource17, Resource20, Resource19, Resource38, admin1, Resource35, Resource29, Resource24, Resource15, Resource18, Resource08, Resource10};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
Resource11;{Resource11_dummy};{Resource11_dummy};{Resource11_dummy};{Resource11_dummy};{Resource11_dummy};{Resource05, Resource11};{Resource09, Resource23, Resource14, Resource21, Resource05, Resource06, Resource03, Resource13, Resource04, Resource11, Resource12, Resource22};{Resource14, Resource12, Resource21, Resource05, Resource06, Resource03, Resource13, Resource43, Resource04, Resource09, Resource23, Resource07, Resource11, Resource22};{Resource02, Resource21, Resource05, Resource06, Resource13, Resource39, Resource43, Resource04, Resource09, Resource07, Resource23, Resource14, Resource03, Resource11, Resource12, Resource22};{Resource25, Resource12, Resource26, Resource02, Resource21, admin3, Resource34, Resource05, Resource06, Resource13, Resource32, Resource39, Resource17, Resource43, Resource04, Resource09, Resource20, Resource19, Resource38, Resource07, admin1, Resource35, Resource23, Resource14, Resource29, Resource03, Resource24, Resource15, Resource18, Resource08, Resource11, Resource10, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, admin1, Resource14, Resource24, Resource15, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource22};{Resource25, Resource26, Resource34, Resource13, Resource39, Resource17, Resource43, Resource09, Resource20, Resource19, Resource38, Resource07, Resource35, Resource29, Resource03, Resource18, Resource08, Resource11, Resource12, Resource10, Resource01, Resource27, Resource02, Resource21, Resource05, admin3, Resource06, Resource32, Resource04, Resource30, admin1, Resource14, Resource24, Resource15, admin2, Resource33, Resource23, Resource16, Resource22};*
