Admission NC;{Admission NC_dummy};{Admission NC_dummy};{LacticAcid, CRP, Leucocytes, Admission NC};{LacticAcid, Leucocytes, Admission NC, CRP, IV Antibiotics, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
CRP;{CRP, Leucocytes};{LacticAcid, CRP, Leucocytes};{LacticAcid, CRP, Leucocytes, Admission NC};{LacticAcid, Leucocytes, Admission NC, CRP, IV Antibiotics, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
ER Registration;{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
ER Sepsis Triage;{ER Sepsis Triage_dummy};{ER Sepsis Triage_dummy};{IV Antibiotics, ER Sepsis Triage};{LacticAcid, Leucocytes, Admission NC, CRP, IV Antibiotics, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
ER Triage;{ER Triage_dummy};{ER Triage_dummy};{ER Triage_dummy};{IV Liquid, ER Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
IV Antibiotics;{IV Antibiotics_dummy};{IV Antibiotics_dummy};{IV Antibiotics, ER Sepsis Triage};{LacticAcid, Leucocytes, Admission NC, CRP, IV Antibiotics, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
IV Liquid;{IV Liquid_dummy};{IV Liquid_dummy};{IV Liquid_dummy};{IV Liquid, ER Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
LacticAcid;{LacticAcid_dummy};{LacticAcid, CRP, Leucocytes};{LacticAcid, CRP, Leucocytes, Admission NC};{LacticAcid, Leucocytes, Admission NC, CRP, IV Antibiotics, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
Leucocytes;{CRP, Leucocytes};{LacticAcid, CRP, Leucocytes};{LacticAcid, CRP, Leucocytes, Admission NC};{LacticAcid, Leucocytes, Admission NC, CRP, IV Antibiotics, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
Release A;{Release A_dummy};{Release A_dummy};{Release A_dummy};{Release A_dummy};{Release A_dummy};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
