Admission NC;{Admission NC_dummy};{LacticAcid, ER Sepsis Triage, Admission NC};{LacticAcid, CRP, ER Sepsis Triage, Admission NC};{LacticAcid, Leucocytes, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, IV Liquid, Admission NC, IV Antibiotics, CRP, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
CRP;{CRP_dummy};{CRP_dummy};{LacticAcid, CRP, ER Sepsis Triage, Admission NC};{LacticAcid, Leucocytes, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, IV Liquid, Admission NC, IV Antibiotics, CRP, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
ER Registration;{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
ER Sepsis Triage;{LacticAcid, ER Sepsis Triage};{LacticAcid, ER Sepsis Triage, Admission NC};{LacticAcid, CRP, ER Sepsis Triage, Admission NC};{LacticAcid, Leucocytes, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, IV Liquid, Admission NC, IV Antibiotics, CRP, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
ER Triage;{ER Triage_dummy};{ER Triage_dummy};{ER Triage_dummy};{ER Triage_dummy};{ER Triage_dummy};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
IV Antibiotics;{IV Antibiotics_dummy};{IV Antibiotics_dummy};{IV Antibiotics_dummy};{IV Antibiotics, IV Liquid};{LacticAcid, Leucocytes, IV Liquid, Admission NC, IV Antibiotics, CRP, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
IV Liquid;{IV Liquid_dummy};{IV Liquid_dummy};{IV Liquid_dummy};{IV Antibiotics, IV Liquid};{LacticAcid, Leucocytes, IV Liquid, Admission NC, IV Antibiotics, CRP, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
LacticAcid;{LacticAcid, ER Sepsis Triage};{LacticAcid, ER Sepsis Triage, Admission NC};{LacticAcid, CRP, ER Sepsis Triage, Admission NC};{LacticAcid, Leucocytes, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, IV Liquid, Admission NC, IV Antibiotics, CRP, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
Leucocytes;{Leucocytes_dummy};{Leucocytes_dummy};{Leucocytes_dummy};{LacticAcid, Leucocytes, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, IV Liquid, Admission NC, IV Antibiotics, CRP, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
Release A;{Release A_dummy};{Release A_dummy};{Release A_dummy};{Release A_dummy};{Release A_dummy};{Release A_dummy};{Release A_dummy};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
Release B;{Release B_dummy};{Release B_dummy};{Release B_dummy};{Release B_dummy};{Release B_dummy};{Release B_dummy};{Release B_dummy};{Release B_dummy};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
Return ER;{Return ER_dummy};{Return ER_dummy};{Return ER_dummy};{Return ER_dummy};{Return ER_dummy};{Return ER_dummy};{Return ER_dummy};{Return ER_dummy};{Return ER_dummy};*
-;-;-;-;-;-;-;-;-;-;-
