Admission NC;{IV Liquid, Admission NC};{LacticAcid, ER Sepsis Triage, IV Liquid, Admission NC};{LacticAcid, Leucocytes, IV Liquid, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, ER Sepsis Triage, Admission NC, IV Antibiotics, CRP, IV Liquid};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Return ER, Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
CRP;{CRP_dummy};{CRP, Leucocytes};{LacticAcid, Leucocytes, IV Liquid, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, ER Sepsis Triage, Admission NC, IV Antibiotics, CRP, IV Liquid};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Return ER, Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
ER Registration;{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{ER Registration_dummy};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Return ER, Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
ER Sepsis Triage;{LacticAcid, ER Sepsis Triage};{LacticAcid, ER Sepsis Triage, IV Liquid, Admission NC};{LacticAcid, Leucocytes, IV Liquid, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, ER Sepsis Triage, Admission NC, IV Antibiotics, CRP, IV Liquid};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Return ER, Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
ER Triage;{ER Triage_dummy};{ER Triage_dummy};{ER Triage_dummy};{ER Triage_dummy};{ER Triage_dummy};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Return ER, Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
IV Antibiotics;{IV Antibiotics_dummy};{IV Antibiotics_dummy};{IV Antibiotics_dummy};{LacticAcid, Leucocytes, ER Sepsis Triage, Admission NC, IV Antibiotics, CRP, IV Liquid};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Return ER, Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
IV Liquid;{IV Liquid, Admission NC};{LacticAcid, ER Sepsis Triage, IV Liquid, Admission NC};{LacticAcid, Leucocytes, IV Liquid, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, ER Sepsis Triage, Admission NC, IV Antibiotics, CRP, IV Liquid};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Return ER, Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
LacticAcid;{LacticAcid, ER Sepsis Triage};{LacticAcid, ER Sepsis Triage, IV Liquid, Admission NC};{LacticAcid, Leucocytes, IV Liquid, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, ER Sepsis Triage, Admission NC, IV Antibiotics, CRP, IV Liquid};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Return ER, Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
Leucocytes;{Leucocytes_dummy};{CRP, Leucocytes};{LacticAcid, Leucocytes, IV Liquid, Admission NC, CRP, ER Sepsis Triage};{LacticAcid, Leucocytes, ER Sepsis Triage, Admission NC, IV Antibiotics, CRP, IV Liquid};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Return ER, Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
Release A;{Release A_dummy};{Release A_dummy};{Release A_dummy};{Release A_dummy};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};{Return ER, Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, Release A, LacticAcid, ER Sepsis Triage};*
