Admission NC;{Admission NC_dummy};{ER Triage, Admission NC};{Admission NC, IV Antibiotics, ER Sepsis Triage, IV Liquid, ER Registration, ER Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
CRP;{CRP_dummy};{LacticAcid, CRP};{LacticAcid, CRP, Leucocytes};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
ER Registration;{ER Sepsis Triage, ER Registration};{IV Antibiotics, ER Sepsis Triage, IV Liquid, ER Registration};{Admission NC, IV Antibiotics, ER Sepsis Triage, IV Liquid, ER Registration, ER Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
ER Sepsis Triage;{ER Sepsis Triage, ER Registration};{IV Antibiotics, ER Sepsis Triage, IV Liquid, ER Registration};{Admission NC, IV Antibiotics, ER Sepsis Triage, IV Liquid, ER Registration, ER Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
ER Triage;{ER Triage_dummy};{ER Triage, Admission NC};{Admission NC, IV Antibiotics, ER Sepsis Triage, IV Liquid, ER Registration, ER Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
IV Antibiotics;{IV Antibiotics, IV Liquid};{IV Antibiotics, ER Sepsis Triage, IV Liquid, ER Registration};{Admission NC, IV Antibiotics, ER Sepsis Triage, IV Liquid, ER Registration, ER Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
IV Liquid;{IV Antibiotics, IV Liquid};{IV Antibiotics, ER Sepsis Triage, IV Liquid, ER Registration};{Admission NC, IV Antibiotics, ER Sepsis Triage, IV Liquid, ER Registration, ER Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
LacticAcid;{LacticAcid_dummy};{LacticAcid, CRP};{LacticAcid, CRP, Leucocytes};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
Leucocytes;{Leucocytes_dummy};{Leucocytes_dummy};{LacticAcid, CRP, Leucocytes};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, ER Triage, LacticAcid, ER Sepsis Triage};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
Release A;{Release A_dummy};{Release A_dummy};{Release A_dummy};{Release B, Release A};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
Release B;{Release B_dummy};{Release B_dummy};{Release B_dummy};{Release B, Release A};{Leucocytes, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, LacticAcid, ER Sepsis Triage};*
Return ER;{Return ER_dummy};{Return ER_dummy};{Return ER_dummy};{Return ER_dummy};{Return ER_dummy};*
-;-;-;-;-;-;-
